Child FI Rate,Unemployment Rate
21.40,3.60
16.90,3.60
32.00,5.10
20.90,4.00
19.10,3.50
32.40,4.60
27.00,4.70
24.60,4.60
22.20,3.90
21.10,3.60
21.00,3.60
31.60,5.50
27.70,7.40
21.40,3.80
26.20,4.20
21.70,3.90
23.10,4.60
27.80,5.20
24.50,4.10
25.10,4.60
22.60,4.00
20.20,3.30
24.20,4.20
32.60,6.50
22.70,3.80
19.30,3.40
26.50,4.50
24.60,4.10
27.80,4.10
23.00,3.70
28.10,3.90
38.60,6.60
28.30,5.10
21.00,4.40
23.60,4.00
24.30,4.10
21.10,3.70
27.40,3.80
20.30,4.20
22.70,4.10
19.70,3.60
19.30,3.50
34.10,7.30
29.00,5.40
18.00,3.50
25.50,4.90
25.40,4.10
23.30,3.40
23.40,4.70
28.80,6.10
24.10,4.00
20.50,3.50
37.70,6.50
29.20,4.60
26.00,4.50
22.40,4.00
24.10,4.00
18.50,3.50
13.70,2.80
31.20,5.80
25.10,4.20
26.30,4.10
19.00,3.60
25.80,4.20
29.90,5.80
34.90,9.50
25.10,4.20
16.00,2.80
10.40,3.20
16.10,5.00
31.00,11.70
16.50,5.60
18.00,7.20
24.20,7.40
15.70,5.20
21.90,8.80
26.60,11.50
14.10,4.00
20.70,6.90
19.20,5.50
16.80,5.40
43.20,18.20
27.70,10.20
18.60,6.80
27.90,10.40
18.40,6.30
31.80,12.60
22.10,7.90
28.50,9.80
13.60,3.80
18.90,8.70
22.10,8.80
16.90,6.70
18.40,6.30
16.60,7.30
35.30,13.60
35.00,9.90
21.60,5.60
20.50,5.50
29.80,5.80
22.10,5.10
15.80,4.10
28.10,6.20
17.20,4.10
25.70,5.70
31.30,7.70
19.80,4.40
19.30,5.00
23.80,9.20
20.70,4.40
30.80,17.00
25.00,3.30
27.70,5.30
23.20,4.10
14.40,2.90
22.70,3.50
26.70,4.30
26.50,3.80
19.20,3.20
33.40,6.70
23.70,3.70
28.80,4.30
23.30,4.50
26.60,3.80
27.40,4.70
25.80,4.30
21.80,3.00
22.60,3.50
26.50,4.30
23.50,4.10
23.70,4.20
30.50,4.50
24.60,4.80
18.40,3.20
24.70,3.50
30.00,4.00
25.50,4.00
21.00,3.10
24.60,3.40
25.80,3.50
25.00,3.70
24.40,3.40
23.80,4.00
28.50,5.40
30.60,6.00
28.50,5.20
25.60,4.50
27.80,5.10
23.90,3.90
29.60,4.80
25.20,4.20
24.60,5.20
27.40,4.00
18.60,3.20
20.40,2.90
27.40,4.10
26.90,4.80
29.90,5.60
32.90,4.20
27.70,4.70
30.80,3.40
22.60,3.30
28.20,4.60
25.60,4.10
35.70,6.00
25.10,4.00
28.10,3.80
26.30,4.10
22.30,4.40
23.80,3.80
21.80,3.40
23.60,4.00
29.70,5.10
17.10,3.00
25.40,3.60
25.90,4.30
23.60,3.50
21.60,4.60
29.50,4.70
28.10,4.50
25.70,5.50
28.50,5.20
16.00,2.60
21.90,4.30
30.40,4.70
22.00,4.10
11.10,3.10
20.30,4.60
17.50,4.10
20.30,5.10
