State,2010 Child Food Insecurity Rate,2011 Child Food Insecurity Rate,2012 Child Food Insecurity Rate,2013 Child Food Insecurity Rate,2014 Child Food Insecurity Rate,2015 Child Food Insecurity Rate,2016 Child Food Insecurity Rate,2017 Child Food Insecurity Rate,2018 Child Food Insecurity Rate, # of Food Insecure Children in 2010 ,# of Food Insecure Children in 2011,# of Food Insecure Children in 2012,# of Food Insecure Children in 2013,# of Food Insecure Children in 2014,# of Food Insecure Children in 2015,# of Food Insecure Children in 2016,# of Food Insecure Children in 2017,# of Food Insecure Children in 2018
AL,26.68,20.33,19.57,20.01,20.40,19.60,18.60,18.70,18.10,298960.00,37640.00,36650.00,37590.00,38080.00,36560.00,34800.00,34690.00,33200.00
AK,19.91,26.32,25.77,26.18,26.40,24.10,22.50,22.30,23.10,36670.00,292740.00,289960.00,294060.00,292330.00,267040.00,247140.00,243880.00,251800.00
AZ,29.01,28.41,27.68,28.43,26.30,25.00,23.20,23.60,23.10,466010.00,198750.00,196950.00,201820.00,185660.00,176710.00,163800.00,167440.00,162270.00
AR,27.80,29.94,28.20,28.04,26.80,24.00,22.70,21.30,19.00,194460.00,478420.00,456760.00,454460.00,434840.00,389850.00,370960.00,348550.00,311390.00
CA,26.79,27.26,26.26,25.07,22.90,20.70,19.00,18.10,15.20,2453770.00,2487750.00,2426510.00,2316570.00,2099120.00,1890050.00,1731270.00,1638430.00,1362340.00
CO,22.14,21.92,21.29,20.60,18.10,16.50,15.10,14.00,12.20,268650.00,266090.00,262110.00,253000.00,226350.00,207650.00,190780.00,177360.00,155120.00
CT,18.80,19.82,19.60,19.03,18.10,16.70,15.60,15.50,16.00,151530.00,157550.00,155380.00,152990.00,140290.00,127400.00,117380.00,115240.00,117660.00
DE,18.38,30.03,27.96,30.49,25.90,23.60,22.20,21.20,19.10,37240.00,31460.00,30600.00,32100.00,29820.00,27800.00,26800.00,26450.00,24280.00
DC,30.74,18.28,18.27,19.41,17.80,17.30,16.80,17.00,19.00,30850.00,36860.00,37430.00,39780.00,36380.00,35310.00,34240.00,34750.00,38680.00
FL,28.39,28.42,27.59,26.75,24.90,22.70,20.70,20.40,19.40,1117730.00,1118050.00,1103850.00,1071760.00,1007870.00,930730.00,857150.00,854880.00,819370.00
GA,28.26,28.82,28.08,28.17,26.10,23.20,20.90,20.00,16.20,694530.00,707390.00,700780.00,700870.00,650970.00,580830.00,523470.00,503370.00,405380.00
HI,21.65,23.74,23.90,22.45,22.00,20.10,17.80,17.50,18.40,64430.00,71020.00,72390.00,68450.00,67690.00,62600.00,54650.00,53540.00,55710.00
ID,22.83,22.66,21.61,20.83,19.50,17.30,15.70,15.70,12.70,96660.00,692100.00,661950.00,643040.00,583000.00,513270.00,459330.00,453260.00,363900.00
IL,22.19,22.71,21.75,21.82,21.20,19.10,17.70,17.40,17.50,684960.00,355780.00,345730.00,348570.00,335410.00,301990.00,279840.00,273380.00,274080.00
IN,22.72,19.30,19.26,19.29,17.80,16.70,15.90,15.30,13.90,358120.00,137120.00,139200.00,139850.00,129270.00,121550.00,115890.00,111520.00,102190.00
IA,19.49,23.05,21.60,21.13,19.30,17.60,16.70,15.80,12.60,138340.00,96090.00,91730.00,90240.00,83110.00,76070.00,72840.00,69920.00,56120.00
KS,22.67,22.65,22.52,22.32,21.30,19.20,18.30,18.30,18.40,162030.00,160770.00,162400.00,161740.00,153940.00,138480.00,131130.00,130210.00,129780.00
KY,22.67,22.39,21.63,21.73,21.90,20.00,19.20,18.40,18.90,226790.00,224800.00,220170.00,221780.00,222380.00,202050.00,194440.00,186660.00,190600.00
LA,23.10,23.52,23.41,24.33,24.50,23.40,23.10,23.00,24.60,253750.00,259520.00,261960.00,271500.00,272760.00,261230.00,258630.00,255640.00,269650.00
ME,22.76,16.48,16.58,16.49,15.10,13.50,12.10,11.70,10.10,61020.00,229170.00,232270.00,232150.00,210050.00,187290.00,167450.00,159950.00,138760.00
MD,17.80,19.03,19.31,19.14,18.30,16.30,15.30,15.20,16.10,236560.00,251730.00,259330.00,258110.00,247560.00,220010.00,205890.00,204660.00,216070.00
MA,16.82,23.87,24.14,22.70,23.30,21.40,19.80,18.50,19.10,235480.00,62810.00,64200.00,61080.00,60010.00,54830.00,50520.00,47020.00,47460.00
MI,24.77,23.65,22.30,20.86,19.70,18.00,16.30,15.90,14.70,568890.00,533470.00,505730.00,480490.00,437100.00,397070.00,356930.00,345130.00,318960.00
MN,16.75,16.65,16.11,16.01,15.20,13.80,12.70,12.60,12.40,212050.00,209830.00,205910.00,205050.00,195660.00,177080.00,163070.00,163310.00,161880.00
MS,28.31,22.55,21.95,21.57,20.80,18.60,17.40,17.50,15.20,210350.00,312440.00,308110.00,304810.00,289210.00,258610.00,241830.00,243110.00,209870.00
MO,22.74,27.41,28.72,29.02,27.40,26.30,24.40,22.90,23.00,316450.00,202980.00,214720.00,217220.00,200600.00,191750.00,176580.00,163530.00,162150.00
MT,20.92,21.80,22.03,22.08,20.10,18.80,17.00,16.10,15.90,45700.00,47720.00,48500.00,49300.00,45110.00,42480.00,38810.00,36910.00,36560.00
NE,21.45,14.66,16.16,15.01,15.50,12.90,11.40,12.30,13.30,96700.00,40490.00,44440.00,42170.00,41350.00,33940.00,29740.00,31640.00,34280.00
NV,28.19,27.29,26.66,26.09,24.60,22.60,20.90,20.10,19.30,184890.00,618200.00,608850.00,595240.00,564240.00,516120.00,479220.00,461630.00,443040.00
NH,14.34,18.96,18.51,18.29,16.80,14.90,13.50,13.20,11.30,40400.00,383020.00,375240.00,374350.00,338690.00,298010.00,268080.00,260340.00,219760.00
NJ,18.64,30.62,29.15,28.27,27.20,25.00,25.60,24.10,23.80,380170.00,156930.00,150390.00,145280.00,136070.00,124980.00,125210.00,118030.00,114180.00
NM,28.70,21.95,21.76,21.87,20.90,19.40,17.90,17.60,16.90,146940.00,924970.00,927150.00,938610.00,884170.00,819460.00,750000.00,732300.00,685500.00
NY,21.26,10.23,10.61,10.91,11.40,9.40,9.40,9.80,9.60,902070.00,15250.00,16350.00,16780.00,19070.00,16130.00,16440.00,16900.00,16700.00
NC,27.61,21.01,20.67,21.10,19.70,18.30,17.30,17.40,16.70,621650.00,94940.00,95680.00,97080.00,92230.00,85970.00,82070.00,82370.00,79310.00
ND,10.62,28.05,28.05,26.71,24.30,22.40,20.50,20.00,19.50,15780.00,183360.00,186380.00,176810.00,161260.00,149460.00,138880.00,136800.00,134350.00
OH,25.91,25.66,25.23,24.24,23.80,21.90,20.30,19.60,18.90,693110.00,679900.00,671090.00,653410.00,628580.00,575020.00,528960.00,510030.00,489160.00
OK,26.64,25.34,25.57,25.98,23.80,22.60,22.70,22.20,21.80,244050.00,233350.00,239380.00,242990.00,226390.00,216980.00,218770.00,213720.00,208110.00
OR,29.02,29.07,27.35,25.92,24.50,22.50,20.00,18.90,16.00,247380.00,245260.00,235410.00,223480.00,210290.00,194070.00,173780.00,165290.00,139220.00
PA,20.26,20.55,20.56,20.45,19.30,17.90,16.90,16.40,15.10,555110.00,559120.00,562770.00,564440.00,521750.00,482130.00,452690.00,437340.00,399270.00
RI,21.50,22.17,21.27,21.73,20.30,18.10,17.40,17.30,17.80,47660.00,47780.00,46150.00,47740.00,43210.00,38430.00,36230.00,35760.00,36270.00
SC,27.09,27.42,26.35,25.17,23.40,20.70,18.90,18.30,16.20,288640.00,292800.00,284880.00,271560.00,253340.00,225550.00,207840.00,202110.00,178710.00
SD,17.90,18.32,18.50,19.61,18.50,18.00,16.50,16.40,16.50,35450.00,36110.00,37770.00,40040.00,39030.00,37670.00,35360.00,34970.00,35330.00
TN,25.07,25.11,24.66,25.44,24.00,21.10,19.70,18.90,17.70,368490.00,369020.00,368530.00,379780.00,357920.00,315370.00,295570.00,285770.00,267110.00
TX,27.14,27.56,27.35,27.43,25.60,23.80,23.00,22.50,21.60,1845670.00,1894060.00,1909470.00,1899310.00,1821820.00,1713430.00,1676740.00,1658680.00,1598940.00
UT,21.98,21.40,20.66,20.37,18.20,16.40,15.40,14.70,12.10,189540.00,186170.00,183320.00,179130.00,164440.00,149790.00,142320.00,135940.00,113190.00
VT,20.46,16.51,16.15,16.78,16.00,14.40,13.30,13.20,12.50,25960.00,301980.00,299600.00,311410.00,299050.00,268670.00,249170.00,247470.00,233530.00
VA,16.43,19.30,19.80,19.21,19.10,15.70,15.70,15.90,15.20,300430.00,23670.00,24530.00,24330.00,23310.00,18820.00,18620.00,18760.00,17550.00
WA,24.23,24.30,23.37,23.12,21.00,19.00,17.50,17.30,14.70,378020.00,375880.00,370380.00,366450.00,337320.00,306560.00,284480.00,284760.00,244480.00
WV,21.10,20.82,20.74,20.41,19.10,17.00,16.00,15.40,14.10,79360.00,270150.00,273140.00,270460.00,248570.00,219280.00,205660.00,197290.00,179180.00
WI,21.37,21.75,21.65,23.34,21.50,20.80,20.20,20.60,20.30,279920.00,82220.00,83190.00,89880.00,82220.00,79050.00,75970.00,76970.00,73770.00
WY,18.63,17.99,19.17,18.63,16.80,16.90,16.70,17.40,15.90,25060.00,23820.00,26190.00,25420.00,23130.00,23550.00,23500.00,23960.00,21160.00
