,State,FIPS,Total Food Costs,Year,bin
0,Alabama,00001,8012212.34,2015,5000001-10000000
1,Alabama,00001,10292799.67,2016,10000001-50000000
2,Alabama,00001,11026597.45,2017,10000001-50000000
3,Alabama,00001,10380831.06,2018,10000001-50000000
4,Alabama,00001,11380963.77,2019,10000001-50000000
5,Alaska,00002,1074067.67,2015,900001-1300000
6,Alaska,00002,1642857.81,2016,1600001-2000000
7,Alaska,00002,1539956.95,2017,1300001-1600000
8,Alaska,00002,958191.03,2018,900001-1300000
9,Alaska,00002,2044246.08,2019,2000001-5000000
10,Arizona,00004,9935722.16,2015,5000001-10000000
11,Arizona,00004,13127269.74,2016,10000001-50000000
12,Arizona,00004,15500726.63,2017,10000001-50000000
13,Arizona,00004,12600425.72,2018,10000001-50000000
14,Arizona,00004,19678874.38,2019,10000001-50000000
15,Arkansas,00005,4427764.88,2015,2000001-5000000
16,Arkansas,00005,5645373.11,2016,5000001-10000000
17,Arkansas,00005,7283432.32,2017,5000001-10000000
18,Arkansas,00005,6889542.97,2018,5000001-10000000
19,Arkansas,00005,7267199.41,2019,5000001-10000000
20,California,00006,59347441.76,2015,>50000001
21,California,00006,76564371.58,2016,>50000001
22,California,00006,70059643.63,2017,>50000001
23,California,00006,65288028.0,2018,>50000001
24,California,00006,69839656.24,2019,>50000001
25,Colorado,00008,6502106.63,2015,5000001-10000000
26,Colorado,00008,8600527.47,2016,5000001-10000000
27,Colorado,00008,6524178.29,2017,5000001-10000000
28,Colorado,00008,6856926.54,2018,5000001-10000000
29,Colorado,00008,7788162.49,2019,5000001-10000000
30,Connecticut,00009,4781347.88,2015,2000001-5000000
31,Connecticut,00009,5136867.12,2016,5000001-10000000
32,Connecticut,00009,6748531.42,2017,5000001-10000000
33,Connecticut,00009,5209765.32,2018,5000001-10000000
34,Connecticut,00009,5252138.9,2019,5000001-10000000
35,Delaware,00010,1379371.01,2015,1300001-1600000
36,Delaware,00010,2127768.57,2016,2000001-5000000
37,Delaware,00010,1908132.47,2017,1600001-2000000
38,Delaware,00010,2157128.58,2018,2000001-5000000
39,Delaware,00010,2667703.84,2019,2000001-5000000
40,District of Columbia,00011,1134257.41,2015,900001-1300000
41,District of Columbia,00011,1895564.66,2016,1600001-2000000
42,District of Columbia,00011,1652067.12,2017,1600001-2000000
43,District of Columbia,00011,1406558.85,2018,1300001-1600000
44,District of Columbia,00011,1452493.99,2019,1300001-1600000
45,Florida,00012,25462022.54,2015,10000001-50000000
46,Florida,00012,34896622.51,2016,10000001-50000000
47,Florida,00012,36110846.71,2017,10000001-50000000
48,Florida,00012,33621426.52,2018,10000001-50000000
49,Florida,00012,41443000.19,2019,10000001-50000000
50,Georgia,00013,14799158.61,2015,10000001-50000000
51,Georgia,00013,21262065.5,2016,10000001-50000000
