State Code,County Code,County Name/State Abbreviation,2010 Unemployment Rate (%),2011 Unemployment Rate (%),2012 Unemployment Rate (%),2013 Unemployment Rate (%),2014 Unemployment Rate (%),2015 Unemployment Rate (%),2016 Unemployment Rate (%),2017 Unemployment Rate (%),2018 Unemployment Rate (%),2019 Unemployment Rate (%),,
1.00,1.00,"Autauga County, AL",8.80,8.30,7.10,6.30,5.80,5.20,5.10,4.00,3.60,2.70,,
1.00,3.00,"Baldwin County, AL",9.90,9.00,7.70,6.70,6.10,5.60,5.40,4.20,3.60,2.70,,
1.00,5.00,"Barbour County, AL",12.10,11.40,11.80,10.40,10.50,8.90,8.40,6.00,5.10,3.80,,
1.00,7.00,"Bibb County, AL",11.20,10.40,8.80,8.00,7.20,6.70,6.50,4.50,4.00,3.10,,
1.00,9.00,"Blount County, AL",9.70,8.60,7.10,6.40,6.10,5.40,5.40,4.20,3.50,2.70,,
1.00,11.00,"Bullock County, AL",11.70,11.50,10.60,9.50,8.80,8.00,6.90,5.10,4.60,3.60,,
1.00,13.00,"Butler County, AL",13.40,12.40,11.80,10.40,8.50,7.60,6.90,5.70,4.70,3.60,,
1.00,15.00,"Calhoun County, AL",11.20,10.30,9.10,8.90,7.90,7.10,6.60,5.10,4.60,3.50,,
1.00,17.00,"Chambers County, AL",14.60,11.80,10.10,8.10,6.70,6.10,5.50,4.20,3.90,2.90,,
1.00,19.00,"Cherokee County, AL",10.50,9.60,8.20,6.70,5.80,5.50,5.10,4.20,3.60,2.90,,
1.00,21.00,"Chilton County, AL",10.10,9.10,7.40,6.70,6.20,5.70,5.50,4.20,3.60,2.70,,
1.00,23.00,"Choctaw County, AL",13.00,13.00,10.50,9.40,9.00,9.20,8.50,6.50,5.50,4.70,,
1.00,25.00,"Clarke County, AL",19.50,18.60,15.40,14.00,12.10,11.80,10.90,8.80,7.40,5.80,,
1.00,27.00,"Clay County, AL",14.20,11.70,9.60,8.50,7.10,6.20,6.00,4.50,3.80,3.00,,
1.00,29.00,"Cleburne County, AL",9.80,9.60,8.40,7.80,6.60,6.10,6.00,4.60,4.20,3.20,,
1.00,31.00,"Coffee County, AL",8.50,8.10,7.20,7.00,6.60,6.00,5.90,4.50,3.90,2.90,,
1.00,33.00,"Colbert County, AL",11.30,10.10,9.00,8.30,8.30,8.00,7.00,5.40,4.60,3.70,,
1.00,35.00,"Conecuh County, AL",16.90,15.00,12.20,10.90,10.30,9.30,8.40,6.30,5.20,4.00,,
1.00,37.00,"Coosa County, AL",15.10,12.30,9.60,9.30,8.80,6.70,6.00,4.80,4.10,3.00,,
1.00,39.00,"Covington County, AL",10.20,9.80,8.60,8.20,7.70,7.20,6.80,5.40,4.60,3.40,,
1.00,41.00,"Crenshaw County, AL",10.00,9.80,8.50,7.80,6.90,6.00,5.90,4.70,4.00,2.80,,
1.00,43.00,"Cullman County, AL",10.30,9.50,7.90,6.80,6.00,5.30,5.00,3.90,3.30,2.60,,
1.00,45.00,"Dale County, AL",8.70,8.30,7.60,7.50,7.00,6.40,5.80,4.60,4.20,3.10,,
1.00,47.00,"Dallas County, AL",16.60,15.00,13.20,12.40,11.20,9.60,9.20,7.70,6.50,5.50,,
1.00,49.00,"DeKalb County, AL",12.40,11.70,9.30,7.70,6.80,6.10,6.10,4.60,3.80,2.80,,
1.00,51.00,"Elmore County, AL",9.00,8.40,7.10,6.20,5.70,5.10,4.80,3.80,3.40,2.60,,
1.00,53.00,"Escambia County, AL",11.60,10.70,9.40,8.70,8.00,7.10,6.70,5.10,4.50,3.50,,
1.00,55.00,"Etowah County, AL",10.80,10.00,8.50,7.70,7.00,6.20,5.90,4.70,4.10,3.30,,
1.00,57.00,"Fayette County, AL",12.80,11.00,8.80,8.40,7.80,7.10,6.80,4.90,4.10,3.10,,
1.00,59.00,"Franklin County, AL",10.50,9.50,8.60,8.20,7.70,6.50,5.90,4.40,3.70,2.80,,
1.00,61.00,"Geneva County, AL",10.20,9.20,7.80,7.10,6.70,6.00,5.80,4.50,3.90,2.90,,
1.00,63.00,"Greene County, AL",17.00,17.10,13.90,13.00,12.40,11.10,10.00,7.80,6.60,5.60,,
1.00,65.00,"Hale County, AL",14.80,13.70,11.70,11.80,9.80,7.80,7.70,6.10,5.10,3.90,,
1.00,67.00,"Henry County, AL",10.80,9.70,8.50,7.80,7.50,6.80,6.50,5.00,4.40,3.60,,
1.00,69.00,"Houston County, AL",9.00,8.60,7.80,7.00,6.70,6.30,5.80,4.50,4.00,3.00,,
1.00,71.00,"Jackson County, AL",11.60,10.20,8.80,8.00,7.20,6.70,6.30,4.90,4.10,3.30,,
1.00,73.00,"Jefferson County, AL",10.20,9.20,7.60,6.80,6.30,5.80,5.70,4.40,3.70,2.90,,
1.00,75.00,"Lamar County, AL",13.00,9.60,7.70,7.10,6.90,6.40,5.70,4.30,3.80,3.10,,
1.00,77.00,"Lauderdale County, AL",10.00,9.10,7.90,7.20,7.20,7.00,6.40,4.80,4.20,3.30,,
1.00,79.00,"Lawrence County, AL",12.40,10.80,9.20,8.50,8.20,7.80,6.90,5.10,4.10,3.10,,
1.00,81.00,"Lee County, AL",8.90,8.00,7.00,6.00,5.60,5.30,5.20,4.10,3.60,2.70,,
1.00,83.00,"Limestone County, AL",9.50,8.60,7.00,6.30,6.10,5.50,5.30,4.20,3.50,2.60,,
1.00,85.00,"Lowndes County, AL",18.10,17.50,15.80,14.30,12.80,11.60,10.60,8.50,7.30,5.70,,
1.00,87.00,"Macon County, AL",14.50,13.90,11.00,9.80,9.10,8.10,7.60,6.00,5.40,4.30,,
1.00,89.00,"Madison County, AL",8.20,8.20,7.10,6.40,6.10,5.50,5.10,4.00,3.50,2.50,,
1.00,91.00,"Marengo County, AL",13.50,12.40,10.40,9.00,7.90,7.70,7.20,5.80,4.90,3.50,,
1.00,93.00,"Marion County, AL",13.30,11.10,9.10,8.00,7.90,7.00,6.60,5.00,4.10,3.40,,
1.00,95.00,"Marshall County, AL",9.50,9.40,8.00,6.90,6.60,5.80,5.30,4.00,3.40,2.50,,
1.00,97.00,"Mobile County, AL",11.10,10.70,9.40,8.70,7.70,6.90,6.60,5.40,4.70,3.70,,
1.00,105.00,"Perry County, AL",16.50,16.30,13.60,13.70,12.00,10.00,10.30,8.00,6.50,5.20,,
1.00,107.00,"Pickens County, AL",12.90,11.90,10.40,9.50,8.10,6.80,6.90,5.50,4.60,3.50,,
1.00,109.00,"Pike County, AL",9.40,8.90,8.20,7.80,7.30,6.60,6.50,5.00,4.50,3.30,,
1.00,111.00,"Randolph County, AL",13.10,11.30,9.40,7.90,6.70,5.90,5.60,4.50,4.00,3.00,,
